comment_id,text
4,"Augmenter l'impact IA : c’est examiner comment le travail est organisé, valorisé ; comment les industries sont structurées."
13,"L'IA fait plus que jamais l'objet de débat public. Elle doit devenir un commun démocratique."
1,"Soyons vigilants à la souveraineté de la donnée francophone, et à sa propriété intellectuelle dans un monde génératif dérégulé."
2,"Nous avons besoin d’un programme européen ambitieux de développement."
17,"Après la fracture numérique, la fracture IA va être encore plus clivante dans les organisations."
5,"La dévaluation du travail passe par la réduction du travail des opérateurs à des données et la perte de contrôle sur leur collecte."
11,"On voit dans les exemples actuels que l’Ia n’augmente pas l’emploi mais le détruit."
3,"Nous avons besoin d’un programme européen ambitieux de régulation."
6,"Il y a nécessité d'envisager des droits et des protections plus étendus en ce qui concerne les données des travailleurs."
16,"Les services IA doivent pouvoir s'adapter à tous les utilisateurs les “surchargés” comme les “disponibles.”"
9,"Les incitations fiscales peuvent être un instrument de politique d’emploi face au déploiement d’IA générative."
7,"Le paradoxe, c’est que le salarié est en faveur de choisir ses usages IA générative, tout en refusant les IA imposées par l’entreprise."
10,"La réglementation doit devenir un soutien : trop de réglementations contradictoires, des cadres peu clairs empêchent le passage à l'échelle."
12,"Le monde à l’envers du management qui croit les outils qui génèrent trop de faux-positifs mais pas les salariés qui doivent les corriger."
14,"La boussole IA est une manière de prioriser des projets, si et seulement si la techno s'avère véritablement nécessaire pour le bien commun."
25,"Il faut mettre en place les conditions d'un réel dialogue social technologique au travail."
19,"80% de transformation c’est d'accompagnement l'humain et seulement 20% est de la  technologie."
15,"On doit déployer nos propres LLMs parce qu'on manipule des données usagers dont on ne peut pas se permettre de laisser fuiter des données."
21,"Se limiter aux early adopteurs pour diffuser? Il faut avoir la bonne cadence de transformation pour chaque population dans l'organisation."
26,"Appréhender l'IA ne se limite pas à l'acquisition de compétences techniques et interroge la notion d'expertise et de management."
27,"Il faut accepter de laisser les salariés acteurs de leurs choix et de leurs usages numériques au travail."
23,"Il ne faut pas avoir peur de l'IA, mais il ne faut pas non plus avoir peur d’un dialogue social de co-construction."
18,"C'est important de sensibiliser à la sécurité, transparence ; à la façon de traiter, utiliser les données quand on n'a pas culture de data."
24,"Une IA non-biaisée n’existe pas. Mais on doit mesurer et corriger les préjugés sexistes dans l'IA pour un système qui convienne à chacun."
20,"Sur certains thèmes, on fera le choix de ne pas lancer des projets d’IA générative."
8,"Les heures gagnées grâce à l’IA générative sont une fuite de productivité inutile parce qu’elles ne sont pas réutilisées."
22,"Nous devons penser aux générations futures qui seront touchées par nos expériences avec l’IA incontrôlées aux conséquences considérables."
0,"Le temps de la régulation IA est derrière nous, désormais il faut embarquer les salariés pour qu’aucun ne reste sur le bord de la route."
28,"Ceux qui s'en servent en secret ne devraient pas le dire pour continuer à profiter du gain pour eux..."
29,"L'usage de l'IA est un sautien individuel fort pour l'utiliseur individuel, mais un apport décevant pour le collectif"
30,"La plupart du temps, un savoir collectif passé est abusivement utilisé par l'ia pour donner des ordres aux salariés et supprimer leur manager"
31,"Pour que l'introduction IA ne soit pas une punition, chaque salarié doit avoir son plan de formation et une compréhension de son intérêt"
32,"Former des experts, c'est commencer par les activités basiques puis en faire de plus complexes. Avec l'IA, ça disparaît ?"
33,"Les IA devraient passer un test de conformité produit avant introduction sur le marché. Comme tout produit."
34,"Les agents IA ne doivent pas opérer au-delà de tâches déimitées afin de protéger les travailleurs"
35,"Lorsqu'on parle d'IA générative, on évoque souvent la productivité, mais pas assez l'humain."
36,"L'IA ne nous remplace pas mais elle nous REPLACE."
37,"Il faut que nous ayons le choix de nous "opt out"."
38,"Plus nous avons d'IA, plus nous avons besoin d'intelligence émotionnelle."
39,"La technologie fera ce que nous lui demanderons de faire. Nous pouvons empêcher que ce soit l'inverse."
40,"Il faut des syndicats plus forts et mieux formés."
41,"rêvons que les salariés retrouvent la défense de leurs métiers grâce à l'IA."
42,"on parle d'intelligence artificielle, je ne vous sue des pseudo intelligences superficielles"
43,"lIA ne remplace pas...encore"
44,"si une IA est capable de faire ton boulot, tu ne sers plus à rien"
45,"il est nécessaire de revoir les approches de formation des humains car si une IA peut faire les exposés ou est l'apprentissage (des humains)"
46,"etonnament les discours en faveur de l'IA apparaissent déconnectés des préoccupations environnementale."
